,中文名,拉丁学名,植物大类,类别,来源,光照条件,光照评分,生态适应性评分,美学评分,生态学特征,花期,花期月数,单株成本_元,种植密度_株每平方米,每平方米种植成本_元,推荐场景,应用场景
1,三角槭,Acer buergerianum,乔木,,新遴选树种,耐阴,2.0,7.6,7.0,喜光稍耐荫，耐寒，较耐水湿，喜温暖、湿润环境及中性至酸性土壤。,未知,0,1038.72,0.03,26.21,"社区型, 街角型",孤赏树、庭荫树、造林树
2,乌桕,Triadica sebifera,乔木,,已推广树种,喜光,3.0,6.8,8.0,喜光，喜潮湿，较耐寒，抗风抗病能力强，对有毒气体二氧化硫及氟化氢具有较强抗性。喜温暖环境，对土壤适应性较强,5月-6月,2,705.28,0.03,19.85,"商圈型, 干道型, 街角型",
3,乐昌,Michelia chapensis,乔木,,已推广树种,耐阴,2.0,7.6,7.0,喜温暖湿润的气候，喜土层深厚的酸性土壤。耐旱耐瘠，萌芽力强，耐寒性较强，具有一定的耐阴性和抗风能力,未知,0,436.37,0.03,11.13,"社区型, 街角型",
4,光皮,Cornus wilsoniana,乔木,,新遴选树种,喜光,3.0,6.5,7.0,喜光，在碱性、中性、及轻度盐碱地都能正常生长。,未知,0,1417.75,0.02,34.2,"商圈型, 干道型, 街角型",庭荫树、行道树、造林树
5,冬青,Ilex chinensis,乔木,,新遴选树种,耐阴,2.0,7.3,8.0,喜温暖气候，适生于肥沃湿润、排水良好的酸性土壤；较耐荫湿，有一定耐寒力，对二氧化碳抗性强。,5月-6月,2,266.92,0.03,7.57,"社区型, 街角型",造林树
6,凌霄,Campsis grandiflora,乔木,,已推广树种,耐阴,2.0,7.0,7.0,喜光，喜温暖湿润气候，较耐阴，忌积水,未知,0,355.82,0.03,10.72,"社区型, 街角型",
7,刚竹,Phyllostachys sulphurea var. viridis,乔木,,已推广树种,耐阴,2.0,7.6,7.0,"喜光,稍耐荫;喜温暖湿润气候,亦耐寒;土壤适应性广,稍耐盐碱,但在黏重土生长较差,忌排水不良",未知,0,313.63,0.05,15.42,"社区型, 街角型",
8,功劳,,乔木,,已推广树种,喜光,3.0,6.5,7.0,,未知,0,1353.38,0.03,46.24,"商圈型, 干道型, 街角型",
9,十大,Mahonia fortunei,乔木,,已推广树种,耐阴,2.0,7.0,7.0,"耐荫、忌烈日曝晒，具有较强的抗寒能力,不耐暑热。喜温暖湿润的气候，不择土壤",未知,0,1148.49,0.04,44.94,"社区型, 街角型",
10,南天竹,Nandina domestica,乔木,,已推广树种,耐阴,2.0,7.6,8.0,喜光，较耐荫。耐寒，耐湿，耐旱。喜温暖湿润气候，适生于肥沃、排水良好的沙质壤土,5月-6月,2,203.82,0.04,8.44,"社区型, 街角型",
11,南酸枣,Choerospondias axillaris,乔木,,新遴选树种,喜光,3.0,6.8,8.0,喜温暖、喜光，喜温暖湿润气候；不耐寒，不耐水淹和盐碱。,4月-5月,2,865.72,0.03,23.2,"商圈型, 干道型, 街角型",庭荫树、造林树
12,卫矛,Euonymus alatus,乔木,,新遴选树种,耐阴,2.0,7.0,7.0,喜光，也稍耐荫，对气候和土壤适应性强，能耐干旱、瘠薄和寒冷，在中性、酸性及石灰性土上均能生长。,未知,0,640.74,0.03,19.53,"社区型, 街角型",园景树、背景树
13,厚叶石斑木,Rhaphiolepis umbellata,乔木,,新遴选树种,喜光,3.0,7.4,7.5,喜光，耐水湿，耐盐碱，耐热，抗风，耐寒。,未知,0,888.55,0.03,24.22,"商圈型, 干道型, 街角型",园景树、造型树
14,叶栾,,乔木,,已推广树种,喜光,3.0,6.5,7.0,,未知,0,207.18,0.04,9.21,"商圈型, 干道型, 街角型",
15,含笑,,乔木,,已推广树种,喜光,3.0,6.5,8.0,,3月-4月,2,595.51,0.04,21.29,"商圈型, 干道型, 街角型",
16,喜树,Camptotheca acuminata,乔木,,已推广树种,喜光,3.0,7.1,7.0,不耐寒，不耐旱，不耐烟尘。喜温暖湿润，在石灰岩风化的钙质土壤和微酸性的土壤中生长良好,未知,0,666.01,0.02,15.64,"商圈型, 干道型, 街角型",
17,垂丝,Malus halliana,乔木,,已推广树种,喜光,3.0,7.1,7.0,喜光，耐旱，喜肥沃而排水良好土壤，不耐水湿,未知,0,244.71,0.05,11.57,"商圈型, 干道型, 街角型",
18,垂柳,Salix babylonica,乔木,,已推广树种,喜光,3.0,7.1,7.0,喜光，较耐寒，特耐水湿，也耐干旱,未知,0,1277.36,0.03,39.22,"商圈型, 干道型, 街角型",
19,墨西哥落羽杉,Taxodium mucronatum,乔木,,已推广树种,喜光,3.0,7.4,8.0,喜温暖、喜光；耐水湿，可在水淹环境中生长。耐寒，耐盐碱,3月-4月,2,420.5,0.04,17.34,"商圈型, 干道型, 街角型",
20,复羽,Koelreuteria bipinnata,乔木,,已推广树种,喜光,3.0,6.8,7.0,在微酸性及微碱性土壤都能生长，能耐盐碱及短期水涝。深根性，抗风力强，不耐干旱瘠薄。对二氧化硫和烟尘有较强的抗性,未知,0,1203.92,0.03,31.26,"商圈型, 干道型, 街角型",
21,天竺桂,Cinnamomum japonicum,乔木,,新遴选树种,喜光,3.0,7.3,8.5,喜温暖湿润；不耐涝，抗污染二氧化硫，在轻度盐碱土壤中也能生长。,9月-10月,2,846.42,0.03,24.57,"商圈型, 干道型, 街角型",孤赏树、庭荫树、行道树
22,女贞,Ligustrum lucidum,乔木,,已推广树种,耐阴,2.0,7.3,8.0,喜光，亦耐荫。耐寒，不耐瘠薄，耐修剪，对有毒气体有较强的抗性。对气候要求不严，喜温暖湿润气候,5月-6月,2,989.81,0.03,24.86,"社区型, 街角型",
23,女贞,,乔木,,已推广树种,喜光,3.0,6.5,8.0,,5月-6月,2,576.68,0.02,14.32,"商圈型, 干道型, 街角型",
24,小叶,Ligustrum quihoui,乔木,,已推广树种,耐阴,2.0,7.3,7.0,喜光，亦耐荫。耐寒，耐修剪，对有毒气体有较强的抗性。对气候要求不严,未知,0,497.44,0.02,11.1,"社区型, 街角型",
25,小蜡,Ligustrum sinense,乔木,,已推广树种,耐阴,2.0,7.3,7.0,喜光，亦耐荫。耐寒，耐修剪,未知,0,1408.61,0.04,62.32,"社区型, 街角型",
26,山茶,Camellia japonica,乔木,,已推广树种,半阴,2.5,6.8,8.5,喜半阴；稍耐寒；不耐干旱，亦不耐积水；喜土层深厚、疏松，排水性好的弱酸性土壤,11月-3月,5,240.86,0.04,9.42,"社区型, 街角型",
27,山麻秆,Alchornea davidii,乔木,,新遴选树种,喜光,3.0,6.8,7.0,"喜光，喜温暖、湿润气候,有一定的耐寒性,对土壤要求不严，在微酸性及中性土壤均能生长。",未知,0,1370.54,0.04,53.44,"商圈型, 干道型, 街角型",园景树、护坡植物
28,常山,,乔木,,新遴选树种,喜光,3.0,6.5,7.0,,未知,0,1034.64,0.02,23.3,"商圈型, 干道型, 街角型",
29,忍冬,,乔木,,新遴选树种,喜光,3.0,6.5,7.0,,未知,0,331.91,0.04,13.25,"商圈型, 干道型, 街角型",
30,悬铃木,Platanus spp.,乔木,,已推广树种,喜光,3.0,7.1,7.0,喜光，耐寒耐旱，也耐湿，在酸性、中性或碱性土均可生长,未知,0,683.06,0.03,23.81,"商圈型, 干道型, 街角型",
31,扶芳藤,Euonymus fortunei,乔木,,已推广树种,耐阴,2.0,7.0,7.0,喜光，亦耐阴，喜温暖、湿润环境。对土壤适应性强，酸碱及中性土壤均能正常生长,未知,0,742.63,0.03,19.8,"社区型, 街角型",
32,无患子,Sapindus saponaria,乔木,,已推广树种,耐阴,2.0,7.9,8.0,喜光，稍耐荫，耐寒能力较强对土壤要求不严，深根性，抗风力强不耐水湿，能耐旱萌芽力弱，不耐修剪,4月-5月,2,1118.91,0.04,46.85,"社区型, 街角型",
33,日本,Viburnum awabuki,乔木,,已推广树种,耐阴,2.0,7.0,7.0,喜温暖湿润性气候，喜光耐阴。根系发达，萌芽力强，耐修剪，易整形,未知,0,1023.42,0.05,47.22,"社区型, 街角型",
34,木樨,Osmanthus fragrans,乔木,,已推广树种,喜光,3.0,6.8,7.0,喜光，抗逆性强，耐高温，较耐寒，不耐干旱瘠薄、盐碱、水涝，对土壤要求不严，对二氧化硫、氯气、氟化氢有一定抗性，较强的滞尘能力,未知,0,284.57,0.05,13.79,"商圈型, 干道型, 街角型",
35,朴树,Celtis sinensis,乔木,,已推广树种,耐阴,2.0,7.6,8.0,喜光。稍耐荫，耐寒，有一定耐干旱能力，亦耐水湿及瘠薄土壤。适应力较强，适生于温暖湿润气候，对土壤要求不严,4月-5月,2,1909.25,0.05,89.44,"社区型, 街角型",
36,杜仲,Eucommia ulmoides,乔木,,新遴选树种,喜光,3.0,6.5,7.0,喜光，喜温暖湿润气候，耐严寒，忌积水。,未知,0,535.32,0.04,21.31,"商圈型, 干道型, 街角型",行道树、孤赏树、庭荫树、造林树
37,杜鹃,Rhododendron spp.,乔木,,已推广树种,喜光,3.0,7.1,8.0,不耐寒，怕涝，不耐旱。萌发力和再生力强。适生于疏松、排水通畅、通气良好的酸性土壤，喜腐殖质丰富、基肥充足,4月-5月,2,233.04,0.02,5.42,"商圈型, 干道型, 街角型",
38,杨梅,Morella rubra,乔木,,已推广树种,耐阴,2.0,7.0,8.5,耐阴，对二氧化硫抗性强。喜温暖湿润气候，排水良好的酸性沙壤土,4月-5月,2,459.58,0.04,16.28,"社区型, 街角型",
39,构,Broussonetia papyrifera,乔木,,已推广树种,喜光,3.0,7.0,7.0,强喜光，适应性强。耐干冷，耐湿热，耐干旱瘠薄，也能生长于水边，抗烟尘，抗污染,未知,0,977.27,0.05,46.57,"商圈型, 干道型, 街角型",
40,枇杷,Eriobotrya japonica,乔木,,已推广树种,喜光,3.0,6.8,8.0,喜温暖湿润气候，对土壤适应性强，较耐盐碱,11月-12月,2,579.79,0.03,17.97,"商圈型, 干道型, 街角型",
41,枫杨,Pterocarya stenoptera,乔木,,已推广树种,喜光,3.0,7.1,8.0,喜光，较耐寒，耐水湿，耐轻度盐碱。对土壤要求不严,4月-5月,2,258.8,0.03,7.7,"商圈型, 干道型, 街角型",
42,枫香,Liquidambar formosana,乔木,,新遴选树种,喜光,3.0,6.5,8.0,喜温暖、湿润气候，喜光，耐干旱瘠薄土壤，不耐水涝，在湿润肥沃而深厚的壤土上生长良好。,4月-5月,2,1978.48,0.03,53.94,"商圈型, 干道型, 街角型",孤赏树、庭荫树、造林树
43,枳椇,Hovenia acerba,乔木,,新遴选树种,耐阴,2.0,7.3,7.0,喜光，亦耐荫，较耐寒。不耐湿涝，对土壤要求不严。,未知,0,678.12,0.04,26.43,"社区型, 街角型",造林树
44,枸骨,Ilex cornuta,乔木,,已推广树种,耐阴,2.0,7.6,7.0,耐干旱，喜肥沃的酸性土壤，不耐盐碱，较耐寒；喜光，也耐阴，适宜在阴湿的环境中生长,未知,0,1455.32,0.04,64.4,"社区型, 街角型",
45,柿,Diospyros kaki,乔木,,新遴选树种,喜光,3.0,6.8,8.0,强喜光，耐旱，喜温暖湿润气候，不择土壤。,5月-6月,2,1402.1,0.05,64.95,"商圈型, 干道型, 街角型",园景树、造林树
46,桃,Prunus persica,乔木,,已推广树种,喜光,3.0,7.4,8.0,喜光。耐旱，耐寒，不耐水湿。适应性强，喜肥沃而排水良好土壤,3月-4月,2,910.72,0.03,23.27,"商圈型, 干道型, 街角型",
47,桑,Morus alba,乔木,,已推广树种,喜光,3.0,7.1,7.0,喜光。耐寒，耐干旱瘠薄，耐轻度盐碱，耐严寒，有一定耐涝性。对土壤的要求不严，喜温暖湿润的气候和深厚肥沃砂质壤土,未知,0,315.04,0.03,8.15,"商圈型, 干道型, 街角型",
48,梅,Prunus mume,乔木,,已推广树种,喜光,3.0,6.8,8.5,喜光，较耐寒。喜温暖湿润气候，对土壤要求不严，在排水良好的砂壤土生长最好,2月-3月,2,605.22,0.04,21.55,"商圈型, 干道型, 街角型",
49,梾木,,乔木,,新遴选树种,喜光,3.0,6.5,7.0,,未知,0,643.39,0.02,15.06,"商圈型, 干道型, 街角型",
50,楝,Melia azedarach,乔木,,已推广树种,耐阴,2.0,7.6,7.0,喜光，不耐荫。不耐寒，不耐干旱，怕积水，抗风，耐盐碱，耐烟尘，对二氧化硫等抗性强。喜温暖湿润气候，对土壤要求不严，适生于山地、平原,未知,0,1202.65,0.02,26.72,"社区型, 街角型",
51,榉树,Zelkova serrata,乔木,,已推广树种,喜光,3.0,6.5,8.0,阳性，喜光，喜温暖；不耐干旱和贫瘠,4月-5月,2,1954.38,0.04,84.53,"商圈型, 干道型, 街角型",
52,榔榆,Ulmus parvifolia,乔木,,新遴选树种,喜光,3.0,6.5,8.0,喜光，耐干旱瘠薄，在酸性、中性、钙质土均能生长。,4月-5月,2,1023.59,0.04,36.92,"商圈型, 干道型, 街角型",孤赏树、庭荫树、造林树
53,樟,Camphora officinarum,乔木,,已推广树种,耐阴,2.0,7.0,8.0,喜温暖、喜光；稍耐荫，不耐干旱、瘠薄，忌水淹。抗二氧化硫、臭氧、烟尘能力强，耐修剪,4月-5月,2,761.53,0.03,21.88,"社区型, 街角型",
54,水杉,Metasequoia glyptostroboides,乔木,,已推广树种,喜光,3.0,6.8,8.0,喜光，较耐寒，不怕水涝，不耐干旱瘠薄，适应性强,3月-4月,2,479.4,0.04,18.2,"商圈型, 干道型, 街角型",
55,池杉,Taxodium distichum var. imbricarium,乔木,,已推广树种,喜光,3.0,7.4,8.0,喜光，耐水湿，耐旱，稍耐寒，可在水淹环境中生长。喜温暖湿润气候和深厚疏松的酸性或微酸性土壤,3月-4月,2,176.14,0.05,8.1,"商圈型, 干道型, 街角型",
56,油麻藤,Mucuna sempervirens,乔木,,已推广树种,喜光,3.0,6.8,7.0,"喜光,喜温暖湿润气候。适应性强,耐寒,耐干旱和耐瘠薄,对土壤要求不严",未知,0,613.4,0.02,14.29,"商圈型, 干道型, 街角型",
