,中文名,拉丁学名,植物大类,类别,来源,光照条件,光照评分,生态适应性评分,美学评分,生态学特征,花期,花期月数,单株成本_元,种植密度_株每平方米,每平方米种植成本_元,推荐场景,应用场景
57,浙江楠,Phoebe chekiangensis,乔木,,新遴选树种,耐阴,2.0,7.3,8.0,喜温暖、湿润，耐荫，耐贫瘠，根系发达，耐旱，抗风。,4月-5月,2,992.43,0.04,34.81,"社区型, 街角型",孤赏树、庭荫树、行道树、造林树
58,海州,Clerodendrum trichotomum,乔木,,新遴选树种,耐阴,2.0,7.0,7.0,喜光也稍耐荫，喜凉爽湿润、向阳的气候环境。对土壤要求不严，抗寒、抗旱和抗有毒气体。,未知,0,1353.21,0.04,58.72,"社区型, 街角型",园景树、造林树
59,海桐,Pittosporum tobira,乔木,,已推广树种,耐阴,2.0,7.6,8.0,喜光，稍耐荫，喜温暖湿润气候，不耐寒，对土壤要求不严。抗风，耐盐碱，耐修剪。能抗二氧化硫、氯气、氟化氢等有毒气体,4月-5月,2,1360.33,0.04,49.22,"社区型, 街角型",
60,海棠,,乔木,,已推广树种,喜光,3.0,6.5,7.5,,未知,0,355.27,0.04,14.17,"商圈型, 干道型, 街角型",
61,深山含笑,Michelia maudiae,乔木,,新遴选树种,喜光,3.0,6.5,8.0,喜温暖湿润、阳光充足的环境；宜生长于土层深厚、排水良好、疏松肥沃、富含有机质的酸性及微酸性土壤。,3月-4月,2,1451.18,0.03,39.99,"商圈型, 干道型, 街角型",孤赏树、庭荫树、行道树、造林树
62,火棘,Pyracantha fortuneana,乔木,,已推广树种,喜光,3.0,7.1,8.0,喜光，耐旱，喜肥沃而排水良好土壤，不耐水湿,4月-5月,2,1202.26,0.03,41.86,"商圈型, 干道型, 街角型",
63,玉兰,Yulania denudata,乔木,,新遴选树种,喜光,3.0,7.1,7.5,喜光，喜肥沃、湿润的砂质土壤；较耐寒，不耐旱，不耐碱、怕水淹，对有害气体二氧化硫、氯气抗性较强。,未知,0,286.94,0.03,9.95,"商圈型, 干道型, 街角型",孤赏树、庭荫树
64,珊瑚朴,Celtis julianae,乔木,,新遴选树种,喜光,3.0,6.5,7.0,喜光，适应性很强，对烟尘、有毒气体有抗性，抗风能力强。,未知,0,317.38,0.05,14.3,"商圈型, 干道型, 街角型",行道树、孤赏树、庭荫树、造林树
65,珊瑚树,,乔木,,已推广树种,喜光,3.0,6.5,8.0,,5月-6月,2,1244.77,0.03,31.86,"商圈型, 干道型, 街角型",
66,石楠,Photinia serratifolia,乔木,,已推广树种,耐阴,2.0,7.0,8.0,喜光，耐荫。耐修剪，对烟尘和有毒气体有一定抗性。喜温暖湿润气候，对土壤要求不严,4月-5月,2,792.89,0.04,34.53,"社区型, 街角型",
67,石榴,Punica granatum,乔木,,已推广树种,喜光,3.0,6.8,7.0,喜光；稍耐寒；喜疏松、肥沃、排水良好土壤,未知,0,383.2,0.04,16.89,"商圈型, 干道型, 街角型",
68,箬竹,,乔木,,已推广树种,喜光,3.0,6.5,7.0,,未知,0,383.46,0.04,15.76,"商圈型, 干道型, 街角型",
69,紫薇,Lagerstroemia indica,乔木,,已推广树种,喜光,3.0,6.8,9.5,喜光；较耐寒；耐干旱，不耐积水；喜肥,6月-9月,4,368.56,0.04,13.37,"商圈型, 干道型, 街角型",
70,紫藤,Wisteria sinensis,乔木,,已推广树种,喜光,3.0,6.8,9.0,"喜光,喜温暖湿润气候。适应性强,耐寒,耐干旱和耐瘠薄,对土壤要求不严",4月-5月,2,496.32,0.03,16.29,"商圈型, 干道型, 街角型",
71,紫金牛,Ardisia japonica,乔木,,新遴选树种,耐阴,2.0,7.3,7.5,耐荫性甚强，忌阳光直晒；喜温暖湿润气候，不耐寒；忌干旱、强光；喜生于富含腐殖质的酸性砂质壤土。,未知,0,1143.74,0.05,53.66,"社区型, 街角型",地被、护坡植物
72,络石,Trachelospermum jasminoides,乔木,,已推广树种,耐阴,2.0,7.3,7.0,喜光又耐阴，对环境的适应性强，能够耐寒冷和酷热,未知,0,209.04,0.04,7.38,"社区型, 街角型",
73,罗汉松,Podocarpus macrophyllus,乔木,,已推广树种,喜光,3.0,6.8,7.5,"喜光,适应性强,对土壤要求不严。耐干旱瘠薄,萌芽能力强,耐寒力中等,抗风能力较弱",未知,0,159.26,0.05,7.82,"商圈型, 干道型, 街角型",
74,老鸦柿,Diospyros rhombifolia,乔木,,新遴选树种,耐阴,2.0,7.0,8.0,喜光，较耐荫，喜温暖、湿润的气候条件，喜疏松肥沃、排水良好的微酸土壤。,5月-6月,2,206.58,0.02,5.13,"社区型, 街角型",园景树、造林树
75,胡枝子,Lespedeza spp.,乔木,,新遴选树种,喜光,3.0,7.1,7.0,喜光，耐旱、耐瘠薄、耐酸性、耐盐碱、耐刈割。对土壤适应性强，在瘠薄的新开垦地上可以生长。,未知,0,1262.39,0.04,46.27,"商圈型, 干道型, 街角型",园景树、花篱、护坡植物
76,胡颓子,Elaeagnus pungens,乔木,,已推广树种,半阴,2.5,6.8,7.0,喜温暖湿润和阳光充足的环境，耐半阴；耐干旱；稍耐水湿；喜生于疏松肥沃、富含腐殖质的土壤中,未知,0,879.55,0.03,28.87,"社区型, 街角型",
77,臭椿,Ailanthus altissima,乔木,,新遴选树种,喜光,3.0,7.4,8.0,喜光，耐寒，耐旱，耐瘠薄，不耐水湿，耐中度盐碱；对气候要求不严，适应性强，除黏土外，适应于各类土壤。,5月-6月,2,1098.22,0.03,34.71,"商圈型, 干道型, 街角型",行道树、庭荫树、造林树
78,舟山新木姜子,Neolitsea sericea,乔木,,新遴选树种,喜光,3.0,6.8,7.0,喜温暖、湿润，能耐贫瘠；根系发达，耐旱、抗风。,未知,0,570.29,0.02,12.04,"商圈型, 干道型, 街角型",孤赏树、庭荫树
79,茶梅,Camellia sasanqua,乔木,,已推广树种,半阴,2.5,7.1,9.0,喜半阴；喜温暖湿润环境，稍耐寒；不耐水湿；喜弱酸性土壤,10月-2月,5,608.66,0.04,21.46,"社区型, 街角型",
80,荷花木兰,Magnolia grandiflora,乔木,,已推广树种,喜光,3.0,6.8,7.5,喜光，有一定的耐寒力，不耐干燥，抗风能力强。喜温暖湿润气候，适宜肥沃湿润的土壤，在排水不良的黏性土和碱性土上生长不良,未知,0,1282.18,0.03,33.81,"商圈型, 干道型, 街角型",
81,落羽杉,Taxodium distichum,乔木,,已推广树种,喜光,3.0,7.4,8.0,耐水湿，可在水淹环境中生长。耐寒，耐盐碱,3月-4月,2,220.21,0.02,5.43,"商圈型, 干道型, 街角型",
82,薜荔,Ficus pumila,乔木,,已推广树种,喜光,3.0,6.8,7.0,喜温暖湿润气候，喜阴，耐旱，适生含腐殖质的酸性土壤,未知,0,1263.42,0.05,57.89,"商圈型, 干道型, 街角型",
83,蚊母树,Distylium racemosum,乔木,,已推广树种,耐阴,2.0,7.3,8.0,喜光，稍耐荫，喜温暖湿润气候，耐寒性不强。对土壤要求不严，酸性、中性土壤均能适应。萌芽、发枝力强，耐修剪,4月-5月,2,995.41,0.02,24.07,"社区型, 街角型",
84,蜡梅,Chimonanthus praecox,乔木,,已推广树种,耐阴,2.0,7.6,9.0,喜光，也耐阴，耐寒、耐旱，忌渍水，喜土层深厚、肥沃、疏松、排水良好的微酸性沙质壤土，在盐碱地上生长不良,12月-2月,3,630.17,0.02,13.8,"社区型, 街角型",
85,豆梨,Pyrus calleryana,乔木,,新遴选树种,喜光,3.0,6.8,8.0,喜光，不耐寒，耐干旱、瘠薄，对土壤要求不严，在碱性土地中也能生长。,3月-4月,2,508.93,0.04,21.3,"商圈型, 干道型, 街角型",庭荫树、造林树
86,连翘,Forsythia suspensa,乔木,,已推广树种,喜光,3.0,7.4,8.0,喜光，耐寒耐旱耐瘠薄，不耐水湿。喜暖湿气候，适宜生长在酸性至微碱性土壤，可作水土保持植物,3月-4月,2,1379.84,0.03,37.92,"商圈型, 干道型, 街角型",
87,金钟花,Forsythia viridissima,乔木,,已推广树种,耐阴,2.0,7.3,8.5,喜光，亦耐荫。耐寒，耐修剪,3月-4月,2,733.5,0.04,31.3,"社区型, 街角型",
88,金银,Lonicera maackii,乔木,,新遴选树种,喜光,3.0,7.1,7.5,喜光，耐半荫，耐旱，耐寒；喜湿润肥沃及深厚之土壤。,未知,0,988.36,0.02,20.04,"商圈型, 干道型, 街角型",园景树
89,铁冬青,Ilex rotunda,乔木,,新遴选树种,耐阴,2.0,7.3,8.0,喜光，较耐荫，喜温暖湿润气候和疏松肥沃、排水良好的酸性土壤，适应性较强，耐瘠薄、耐旱、耐霜冻。,5月-6月,2,1380.75,0.03,37.54,"社区型, 街角型",造林树
90,银杏,Ginkgo biloba,乔木,,已推广树种,喜光,3.0,6.5,7.0,喜光，深根性，对气候、土壤的适应性较宽,未知,0,956.92,0.02,21.94,"商圈型, 干道型, 街角型",
91,阔叶十大功劳,Mahonia bealei,乔木,,已推广树种,耐阴,2.0,7.3,8.5,喜温暖、湿润和阳光充足的环境，耐阴，较耐寒；对土壤要求不严,11月-3月,5,604.28,0.03,17.98,"社区型, 街角型",
92,雪松,Cedrus deodara,乔木,乔木类,已推广树种,耐阴,2.0,7.6,9.0,喜光，稍耐荫。不耐水涝，有一定的耐寒性和耐旱性。适宜凉润温暖气候，对土壤要求不严,1月-12月,12,318.54,0.05,15.46,"社区型, 街角型",
93,青冈,Quercus glauca,乔木,,新遴选树种,喜光,3.0,6.5,7.0,喜光，适应性强，耐干旱瘠薄，生长慢。,未知,0,617.01,0.03,15.79,"商圈型, 干道型, 街角型",庭荫树、造林树
94,香橼,Citrus medica,乔木,,已推广树种,耐阴,2.0,7.0,7.0,喜光、较耐阴，喜温暖气候，具有 一定的抗寒性，对土壤的适应范围较广,未知,0,970.14,0.02,20.75,"社区型, 街角型",
95,鸡爪槭,Acer palmatum,乔木,,已推广树种,半阴,2.5,6.8,8.0,弱阳性树种，耐半阴，喜温暖湿润的气候和肥沃、湿润而排水良好的土壤，耐寒性不强，酸性、中性及石灰质土均能适应。对二氧化硫和烟尘等抵抗能力和吸收能力均较强,4月-5月,2,296.92,0.05,14.73,"社区型, 街角型",
96,鹅掌楸,Liriodendron chinense,乔木,,已推广树种,喜光,3.0,7.1,7.0,阳性树种，喜温暖气候，耐寒耐热，不耐旱，抗二氧化硫等污染,未知,0,1089.5,0.03,36.18,"商圈型, 干道型, 街角型",
97,麦李,Prunus glandulosa,乔木,,新遴选树种,喜光,3.0,6.8,8.0,喜光，适应性强，有一定耐寒性。,3月-4月,2,321.03,0.05,15.06,"商圈型, 干道型, 街角型",园景树、花篱
98,麻栎,Quercus acutissima,乔木,,新遴选树种,喜光,3.0,7.4,7.0,喜光，耐寒，耐旱，不耐盐碱；抗风能力强，喜湿润气候，对土壤要求不严。,未知,0,253.01,0.04,9.55,"商圈型, 干道型, 街角型",孤赏树、庭荫树、造林树
99,黄杨,Buxus sinica,乔木,,已推广树种,耐阴,2.0,7.6,7.5,喜光，耐阴，耐旱，耐寒，微酸性土或钙质土均能适应,未知,0,1189.02,0.04,43.8,"社区型, 街角型",
100,黄檀,Dalbergia hupeana,乔木,,新遴选树种,喜光,3.0,6.8,8.5,喜光，喜深厚湿润、排水良好的土壤耐旱，耐瘠薄，忌盐碱地。,5月-6月,2,1073.78,0.04,46.01,"商圈型, 干道型, 街角型",孤赏树、庭荫树、造林树
101,黄荆,Vitex negundo,乔木,,新遴选树种,喜光,3.0,6.8,7.5,喜光，耐寒亦耐热，耐干旱，耐瘠薄。,未知,0,410.12,0.05,19.26,"商圈型, 干道型, 街角型",园景树
102,黄连木,Pistacia chinensis,乔木,,新遴选树种,喜光,3.0,7.1,7.5,喜光，不耐寒，耐旱，耐瘠薄，对二氧化硫和烟尘抗性强；对土壤要求不严。,未知,0,1080.83,0.02,22.15,"商圈型, 干道型, 街角型",行道树、造林树
103,含笑花,Michelia figo,灌木,灌木类,已推广树种,半阴,2.5,6.8,8.0,喜半阴，忌强烈阳光直射；不甚耐寒；怕积水；不耐干燥瘠薄，要求排水良好，肥沃的微酸性壤,3月-4月,2,131.52,1.43,188.72,"社区型, 街角型",
104,阔叶,Indocalamus latifolius,竹类,竹类,已推广树种,半阴,2.5,6.8,7.0,喜温暖、湿润气候，生长适应性强，较耐寒、耐半阴，对土壤要求不严,未知,0,190.29,1.97,374.81,"社区型, 街角型",
105,中华结缕草‘南农蓝光’,Zoysia sinica  ‘Nannong Languang’,草本,草本,新遴选草种,耐阴,2.0,7.0,8.5,暖季型草坪，喜光稍耐荫；质地稍粗，耐踩踏，养护成本较低。,5月-8月,4,5.85,1.0,5.85,"社区型, 街角型",
106,假俭草‘疏荫’,Eremochloa ophiuroides ‘Shade’,草本,草本,新遴选草种,耐阴,2.0,7.0,8.5,暖季型草坪，喜光较耐荫；质地稍粗，稍耐踩踏，养护成本较低。,5月-8月,4,5.69,1.0,5.69,"社区型, 街角型",适用于光照条件一般或较差（30%全光照）的区域，可用于交播。
107,沟叶结缕草,Zoysia matrella,草本,草本,已推广草种,耐阴,2.0,7.0,8.5,暖季型草坪，喜光稍耐荫；质地细腻，耐踩踏，养护成本较低。,5月-8月,4,9.58,1.0,9.58,"社区型, 街角型",适用于光照条件较好，无交播需求的区域。
108,狗牙根‘南农1号’,Cynodon dactylon ‘Nannong No.1’,草本,草本,新遴选草种,耐阴,2.0,7.0,8.5,暖季型草坪，喜光不耐荫；质地细腻，耐踩踏，养护成本较高。,6月-9月,4,10.82,1.0,10.82,"社区型, 街角型",
109,狗牙根‘阳江’,Cynodon dactylon ‘Yangjiang’,草本,草本,新遴选草种,耐阴,2.0,7.3,8.5,暖季型草坪，喜光不耐荫，耐盐碱；质地细腻，耐踩踏，养护成本较高。,6月-9月,4,11.3,1.0,11.3,"社区型, 街角型",适用于光照条件好，需要交播的区域。
110,结缕草‘苏植3号’,Zoysia sinica×Zoysia matrella ‘Suzhi No.3’,草本,草本,新遴选草种,耐阴,2.0,7.0,8.5,暖季型草坪，喜光稍耐荫；质地细腻，耐踩踏，养护成本较低。,5月-8月,4,11.55,1.0,11.55,"社区型, 街角型",适用于光照条件较好，无交播需求的区域。
111,地锦,Parthenocissus tricuspidata,藤本,藤本类,已推广树种,喜光,3.0,7.1,7.0,"落叶藤本；适应性强,性喜阴湿环境,耐寒,耐旱,耐贫瘠,气候适应性广泛",未知,0,50.37,2.79,140.65,"干道型, 街角型",
