note-text,location
绿化带的花，好像也没人管，比我们自己种的长得都要好。真是。。。,上海
很多时候我都觉得绿化带在挑战我的个人素质,上海
才看了一个说挖了判多久的，网友说罚5000,上海
大不大,上海
上海最近几天的月季太美了，处处是鲜花,上海
我这边,上海
附一张常州的百米花道,江苏
小图以为你摘了，我已经做好战斗准备点了进来，原来是个借位,广西
你摘一捧它摘一捧一天花坛就空了,上海
最近真是好看的很,上海
美,上海
在静安寺那边，还有花香，真的很好！,上海
好看,上海
陪一个,上海
今天刚出去看的,上海
,上海
,上海
小图以为你摘了，刚想说不要摘不要摘,上海
我们单位的野花 一大片花海,上海
路边绿化带的月季比我自己养的都好,上海
昨晚公寓看到的，还以为是假花，开的很大很多,上海
这花 我怀疑天天晚上有人浇水 否则上海那么久没下雨了 怎么不蔫呢,上海
我种的,上海
路边的野花不要采,上海
公司附近的，为了这花，每天中午都要出来散步,上海
为什么家里养的容易死，外面日晒雨淋的越养越美,江苏
是月季但是俗称玫瑰 自己网购吧这个季节的花很便宜,河北
我刚买了把剪刀准备去剪，心想搜着看能不能这样做，结果是不能，我的剪刀还没拆就搁置了。,河南
前几天看到一条路上都是贼大的 好好看~,上海
我家小区,上海
你摘了绿化带的花,上海
小区门口的墙～把我急的直打转,广东
吓我一跳，p1以为你摘下来了，刚准备进来喷,广东
我宣布，今晚我要在这里结婚,浙江
想不想挖回去？才5000块,上海
市区绿化带,上海
想想兜里就几个铅角子...算了...就看看，,上海
每次看绿化带我都强忍着极大的犯罪冲动,北京
公司附近的,上海
月季粉扇,上海
从上海搬去珠海两年，婆婆念叨了两年的上海的绿化好，城市干净,上海
,上海
树桩月季,上海
蓝色真的好美,上海
我每年种的就没能超过家门口绿化带的：冬青，郁金香，虞美人，鲁冰花…于是绿化带有的，我就不种了，看看绿化带就好了。,上海
今天也是绿化带拍的，各种好看的花,浙江
巨大还巨香，每次路过都想把脸狠狠埋进去吸几口,上海
美不美,上海
养花人看到手真的痒… 好想剪一枝回去迁插,上海
,上海
超美就是说,上海
,上海
图一我差点就报警了,上海
牛马交的税开花了,上海
笑死了，评论区都在说自己的，没人回答你,云南
真的会有人去摘？？,上海
你这个照片拍的 像花届的擦边,北京
绣球真的开的好好,上海
棒棒糖月季，我也拍到了,上海
还有大学校园里的花也开的非常饱满,上海
这个是粉扇，花型硕大，远看惊艳，一看不够精致。我父母小区家家种这个,浙江
新天地湖滨道,上海
中山南二路沿线啊，两边满眼的月季花，矮的高的,上海
哈哈哈哈这叫我们的社保开花了,上海
满城尽是月季花，太美了,上海
公司对面的绿化带换花的时候趁机捡了两朵完整的做成干花,上海
你问问云南人。 这都是从他们那转移的。他们应该懂品种。,上海
小区的花 随便摘，有花堪折直须折，莫待花落空折枝,上海
我天天上下班经过，想说上海的绿化做的是真得棒👍 心情up,上海
我种的伊芙也很大,上海
快看，采花大盗,江苏
,上海
上面是月季下面是杜鹃,上海
最近的花开的真真很美,上海
骚花,上海
徐汇区的绿化真心弄的好,上海
是月季,上海
我以为你折了差点开喷 sorry,上海
,上海
南北高架上的，每次堵车，我都要开窗看，我老公都会提醒我：你别冲动啊！别伸手出去啊！,上海
不要瞎采，可能进去,上海
想摘，要脸,上海
顾村公园yyds,上海
环贸门口！,上海
,上海
不得不说，上海人的素质真的好,上海
真有人摘了,上海
真的很好看，顾村公园这里也是，很难不驻足,上海
树形月季,上海
好想要,上海
晚上树上也很有亮点,上海
你好浪漫呀,福建
,上海
,上海
棒棒糖月季。我们这边绿化带也全是。。,安徽
,上海
棒棒糖月季,上海
这个季节都是蔷薇 月季,上海
太美啦,上海
看着大家的城市都这么美，真开心呀,上海
,上海
,上海
哈哈，我不摘，但我喜欢摸,上海
,上海
陪一张，原图,上海
上海的绿化带总是在勾引我犯罪,上海
马路边上就是说,上海
最近超级美,上海
超大朵月季,上海
,上海
这个错位👍,上海
县城里的绿化带,上海
,上海
今天在那里拍的高架桥,浙江
好好看,上海
是我的税,上海
好好看呢,河南
差点就要开口骂了，仔细看姐妹原来是空手比划,安徽
我这边的。,上海
月季树还是树月季来着？我今天才知道的，又忘了,安徽
月季啊  我老家农村路边都好多 这种月季太好种了又便宜,上海
陪一张,上海
4月玫瑰月季花期,上海
看我阳台,上海
高架上的月季开的都比我家的好,上海
粉扇？大花浓香的经典品种,上海
我以前也是看到外面的月季就心痒，后来自己养了很多，就没感觉了,安徽
来了来了,湖北
好像叫绯扇，是一个比较老的品种了，花朵特别大，很皮实耐晒,四川
,上海
棒棒糖月季，我也拍了，确实很大很漂亮,上海
刚准备开麦，定睛一看是借位,上海
棒棒糖月季呀,浙江
每次路过有挑战性的花圃我的心里和行为都是：有监控吗 左看右看 有监控会被抓 没监控但是挖了自己也养不活 太不礼貌了 算了还是看看吧,上海
,上海
离你近不近？,黑龙江
最近流行这种大花,上海
我就晒一支,上海
我们小区 还是郊区老小区,上海
合肥也有，花团锦簇的好好看,安徽
真的太美了太大了,上海
国月绯扇,安徽
太太太太考验人性底线了,上海
绿化带里面碗口大的月季花天天考验我的素质，我自己种的黑巴克也挺美（开到后期变红了）,湖北
上海绿化带的花，真的没人挖走摘下,上海
树状月季，嫁接的品种,江苏
,上海
你这样随手摘花，咱们就没法愉快的聊天了,上海
现在绿化带真的都是人民币玩家,江苏
你手拿的是緋月，我家有，巨大还很香，不俗气,北京
树状月季，我爸在绿化带看到，买了好多种家里,山东
看小图想说你不要命啦，点开松了一口气,山东
我骑车的时候看到一个老头跑绿化带摘花……,上海
月季、爬藤月季、印山红（杜鹃）,上海
半夜花旁边三个小车车，里面三个大爷，专门看花的，公园里,安徽
月季啊,江苏
俺地里,浙江
棒棒糖,上海
错位好美。,江苏
南京,江苏
昆明的也是开了好多,云南
分分钟都在挑战我的底线，道德之花！,陕西
我家单元楼底下等我花，每天经过都好想偷几朵,上海
对不起，没看标题，差点以为又有人到苏州，来摘我那盛放的养老金了。,江苏
,上海
配色是怎么做到多地统一的,江苏
看我的,安徽
这个粉色的树是粉扇,湖北
月季，树月,上海
之前公司隔壁楼下绿化带是郁金香🌷真的就是这个颜色,上海
是月季,安徽
武汉绿化带的,湖北
粉扇,四川
好像叫丰花月季,上海
差点骂你了,上海
,上海
苏州的绿化带,江苏
比了一下,上海
月季,上海
太美丽了,上海
陪一张,上海
小县城一个加油站门口的花,江苏
每天晚上都路过，差点就控制不住,湖北
我一直梦想着有一天能遇到给月季修枝的工作人员，我就可以去死乞白赖找人家讨剪下来的枝条子回家自己扦插,上海
都是在挑战我的素质，上次在小区看到那个玫瑰还是月季，又大又红，特别美。但是没有破坏,上海
,上海
公司园区里的 香香的,上海
绯扇粉扇  我们这边绿化带都是   骑着小毛驴路过都能闻到一股淡淡的花香,浙江
应该是粉扇吧,上海
国月 粉扇 ，我也喜欢养这个,江苏
我们浙江人民和上海人民看来都有这种税花呀,浙江
大宁公园都是呢～,上海
我也拍了，徐汇的绿化是真的好,上海
宁波绿化带陪一张,浙江
一片没人管理的花花,江苏
真心受不了，🉐忍住,上海
自己家种的,浙江
比拳头还大,上海
想摘的时候想想5000块,上海
看看,上海
小花是不是杜鹃花？,江苏
这么多小孩失业，希望提高失业金这个可以不这么卷,上海
徐汇的要比隔壁黄浦长宁都每一点,上海
我觉得绿化带每次比我自种的强多了，就让人嫉妒,上海
高架桥都爆盆了！羡慕每一天,上海
棒棒糖？好几年前苏州的绿化带就都是这个了。我觉得花开的太大了没什么审美,上海
真的 上海路边的花盛开的令人惊讶 相比之下觉得自己平时买的鲜花都是假的,上海
美好,上海
绿化带常年美的不像话,上海
自己养不活，天天跑去马路上看绿化带，然后拿着手机咔咔拍,上海
,上海
,上海
这个借位不错，还以为大胆的采花大盗,上海
看图一真的以为你偷摘了,北京
我说你怎么敢在上海摘花的,上海
,上海
看看我们大前滩的绿化带,上海
路边的野花你不要采,上海
家里的绯扇开的比这还多,湖北
家对面绿化带，好多棵，挑了一朵大的拍的,上海
图一也没多大啊,安徽
我每次路过都希望  今天绿化带能不能莫名其妙掉一朵花下来呢  每次都看每次都看！！！！！,上海
我家附近的绿化带,上海
很多,上海
因为和云南是结对帮扶城市啊,上海
一条街鲜花,上海
邻居家的 长年空置 可是花园里的花开的特别好 一季一季的开 也没人养护  每次经过都很羡慕,上海
我爱❤️上海,上海
据说半夜被很多人剪了,上海
上海的绿化带！！！,上海
纳税人的花开了,上海
月季,上海
谴责的话刚打出来又收回去了，你简直是借位天才,上海
质疑绿化带，理解绿化带，成为绿化带,上海
嘿嘿嘿，我也有,上海
高架上的花，真的让我留下了嫉妒的泪,上海
小区门口围墙上,上海
真的超级大,上海
黄浦区，静安区绿化带的花特别贵特别好看。,上海
那就自己种起来,上海
40米刀差点没收住,上海
月季月季，嫁接的，我去种植园看过,上海
刚想开骂，还好没出口，拍的好！拍的好！,上海
有一次我家附近地铁站旁边绿化带翻新的时候我爸直接问工人要了一盆海棠,上海
真的很漂亮，每次早上骑车路过都想停下来拍拍拍，尤其那树开红色白色玫瑰的，简直是朱砂痣和白月光具象化了,上海
淮海中路 大丽花绣球,上海
每次经过好看花花带，我都会不自觉低头找有没有掉下来的可以捡捡，这个季节真心哪哪都好看啊~,上海
粉扇吧,上海
月季棒棒糖,上海
高架上也都放满了花哈哈哈超级好看,上海
前阵子郁金香也好看，花瓣感觉都透明的那种，看的我挪不开眼看,上海
真好美，忍不住拍拍,上海
月季 其实就是鲜切花的多头玫瑰,上海
周家嘴,上海
上班路上的，正好红灯，忍不住拍一下,上海
都是我纳税的钱种的呢,上海
北翟路马路中间隔离带全是爬藤月季，各种颜色竞相开放，美得很,上海
下班路上的,上海
12号线国际客运中心那边的花墙,上海
不是棒棒糖月季，是月季粉扇做成棒棒糖造型,上海
月季,上海
月季好大一朵,上海
月季吧,上海
粉扇,上海
树月季,上海
长得像棒棒糖的那个是棒棒糖月季地面上的是杜鹃,上海
前一阵子路过的一条小路边上很大一棵的白木香,上海
有红掌,上海
棒棒糖月季,上海
今天刚拍的,上海
我也拍了，好好看。,上海
辅德里公园这棵杜鹃才让我惊叹，人站在旁边都变得渺小,上海
对，一路都很大的这种花，害我每次回家都走非机动车道上看花,上海
粉扇月季,上海
树上的应该是月季，矮的那些应该是杜鹃。,上海
绯扇和粉扇，特地网上买了这2个品种的花，开花超级大一朵，而且特别好养活，皮实。不容易生病,上海
借楼，蹲学员，直营驾校，教学一对一，五次不过免费重学，收费透明，可以免费试学，可以看看我的教学视频，满意找我细聊,上海
太美了,上海
真的好大朵，非常想知道是什么品种,上海
太考验个人素质了,上海
我家是绯扇，但是没做棒棒糖，直接地栽灌木丛，开花又大又香，复花好,安徽